ds,temp_mean,temp_min,temp_max,precip
1974-11-06 18:30:00,10.111417,3.279125,17.566626,0.0
1974-11-07 18:30:00,10.420531,3.210375,17.841625,0.26250002
1974-11-08 18:30:00,10.472876,4.697875,16.760376,0.0375
1974-11-09 18:30:00,9.376521,3.8791246,15.385375,0.175
1974-11-10 18:30:00,8.245011,2.4728749,14.541625,0.025
1974-11-11 18:30:00,7.577822,1.8228751,13.591625,0.18750003
1974-11-12 18:30:00,6.702041,1.3353748,12.829125,0.51250005
1974-11-13 18:30:00,5.8499584,0.9291251,11.585375,3.125
1974-11-14 18:30:00,5.379385,1.091625,10.460375,1.6750001
1974-11-15 18:30:00,5.467146,-0.5271251,12.154125,0.0
1974-11-16 18:30:00,5.328865,-0.9833751,12.204124,0.0
1974-11-17 18:30:00,5.5226145,-0.7458751,12.504125,0.0
1974-11-18 18:30:00,5.8999586,0.67287517,11.816626,0.05
1974-11-19 18:30:00,6.209072,0.847875,12.210375,0.0125
1974-11-20 18:30:00,5.9671464,-0.6646249,13.622875,0.0
1974-11-21 18:30:00,6.870792,-0.31462502,14.297874,0.0
1974-11-22 18:30:00,7.375219,1.2978749,14.435375,0.0
1974-11-23 18:30:00,6.2746983,-0.07712495,13.204125,0.0
1974-11-24 18:30:00,5.965062,-0.19587517,12.541625,0.0
1974-11-25 18:30:00,6.514021,1.2541251,12.747875,0.0
1974-11-26 18:30:00,5.4239163,-0.1271249,11.735374,0.0
1974-11-27 18:30:00,4.792667,-1.189625,11.597876,0.0
1974-11-28 18:30:00,3.357771,-0.74587494,7.885375,2.1375
1974-11-29 18:30:00,3.0874581,-2.583375,9.597876,0.62499994
1974-11-30 18:30:00,3.2486558,-1.2771251,8.829125,1.9874998
1974-12-01 18:30:00,1.239542,-1.158375,3.666625,21.2125
1974-12-02 18:30:00,0.52495843,-2.302125,2.9416249,22.724998
1974-12-03 18:30:00,-2.353948,-8.102125,3.816625,0.40000004
1974-12-04 18:30:00,-4.1331143,-9.783375,3.097875,0.0
1974-12-05 18:30:00,-2.1526458,-8.595875,3.9978747,0.087500006
1974-12-06 18:30:00,1.2418853,-1.8583751,4.510375,7.925
1974-12-07 18:30:00,2.1538641,-1.4208751,5.3416247,7.9749994
1974-12-08 18:30:00,-1.1422292,-5.764625,3.5603747,3.6375003
1974-12-09 18:30:00,-3.574781,-8.583375,2.629125,0.0375
1974-12-10 18:30:00,-2.9724374,-7.570875,3.4916248,0.0
1974-12-11 18:30:00,-2.0792081,-7.720875,4.379125,0.23750004
